0-1128ybp,1128-1458ybp,1458-2775ybp,3104-4422ybp,4751-6069ybp,6398-7716ybp,8045-9363ybp,9692-11010ybp,11339-12656ybp,12986-14623ybp,14859-15802ybp,16038-16980ybp,17216-18159ybp,18395-19338ybp,19574-20517ybp,20752-20988ybp
Lepus_californicus,Odocoileus_sp,Odocoileus_sp,Onychomys_leucogaster,Peromyscus_sp,Perognathus_sp,Ochrotomys_nuttalli,Mephitis_macroura,Hemiauchenia_macrocephala,Geomys_sp,Lynx_rufus,Megalonyx_jeffersonii,Neotoma_sp,Sylvilagus_floridanus,Onychomys_leucogaster,Smilodon_fatalis
Lynx_rufus,Onychomys_leucogaster,Onychomys_leucogaster,Panthera_onca,Procyon_lotor,Peromyscus_sp,Odocoileus_sp,Mephitis_mephitis,Lepus_californicus,Hemiauchenia_macrocephala,Mammut_americanum,Mephitis_macroura,Odocoileus_sp,Synaptomys_cooperi,Peromyscus_sp,Sylvilagus_audubonii
Microtus_sp,Pecari_tajacu,Pecari_tajacu,Perognathus_sp,Reithrodontomys_sp,Procyon_lotor,Onychomys_leucogaster,Microtus_sp,Lynx_rufus,Lepus_californicus,Mammuthus_primigenius,Mephitis_mephitis,Onychomys_leucogaster,Ursus_americanus,Scalopus_aquaticus,Sylvilagus_floridanus
Neotoma_sp,Perognathus_sp,Perognathus_sp,Peromyscus_sp,Sciurus_sp,Puma_concolor,Perognathus_sp,Neotoma_sp,Mammut_americanum,Lynx_rufus,Mammuthus_columbi,Microtus_sp,Paramylodon_harlani,,Smilodon_fatalis,Tapirus_veroensis
Notiosorex_crawfordi,Peromyscus_sp,Peromyscus_sp,Procyon_lotor,Sigmodon_hispidus,Reithrodontomys_sp,Peromyscus_sp,Notiosorex_crawfordi,Mammuthus_columbi,Mammut_americanum,Mephitis_macroura,Mustela_erminea,Peromyscus_sp,,Spermophilus_sp,Tetrameryx_shuleri
Odocoileus_sp,Procyon_lotor,Procyon_lotor,Reithrodontomys_sp,Spermophilus_sp,Scalopus_aquaticus,Procyon_lotor,Ochrotomys_nuttalli,Mephitis_macroura,Mammuthus_primigenius,Mephitis_mephitis,Mustela_frenata,Platygonus_compressus,,Sylvilagus_audubonii,Tremarctos_floridanus
Onychomys_leucogaster,Puma_concolor,Puma_concolor,Sigmodon_hispidus,Sylvilagus_audubonii,Sciurus_sp,Puma_concolor,Odocoileus_sp,Mephitis_mephitis,Mammuthus_columbi,Microtus_sp,Navahoceros_fricki,Scalopus_aquaticus,,Sylvilagus_floridanus,Ursus_americanus
Oryx_dammah,Reithrodontomys_sp,Reithrodontomys_sp,Spermophilus_sp,Sylvilagus_floridanus,Sigmodon_hispidus,Reithrodontomys_sp,Onychomys_leucogaster,Microtus_sp,Mephitis_macroura,Mustela_erminea,Neotoma_sp,Sorex_cinereus,,Synaptomys_cooperi,
Ovis_aries,Sigmodon_hispidus,Sciurus_sp,Sylvilagus_audubonii,Thomomys_sp,Sylvilagus_audubonii,Scalopus_aquaticus,Panthera_onca,Mustela_erminea,Mephitis_mephitis,Mustela_frenata,Notiosorex_crawfordi,Sorex_haydeni,,Tapirus_veroensis,
Pecari_tajacu,Sylvilagus_audubonii,Sigmodon_hispidus,Sylvilagus_floridanus,,Sylvilagus_floridanus,Sciurus_sp,Perognathus_sp,Mustela_frenata,Microtus_sp,Navahoceros_fricki,Odocoileus_sp,Sorex_longirostris,,Ursus_americanus,
Perognathus_sp,Sylvilagus_floridanus,Spermophilus_sp,Thomomys_sp,,Thomomys_sp,Sigmodon_hispidus,Peromyscus_sp,Navahoceros_fricki,Mustela_erminea,Neotoma_sp,Onychomys_leucogaster,Spermophilus_sp,,,
Peromyscus_sp,Thomomys_sp,Sylvilagus_audubonii,Urocyon_cinereoargenteus,,Ursus_americanus,Spilogale_sp,Puma_concolor,Neotoma_sp,Mustela_frenata,Notiosorex_crawfordi,Perognathus_sp,Stockoceros_sp,,,
Procyon_lotor,Urocyon_cinereoargenteus,Sylvilagus_floridanus,Ursus_arctos,,,Sylvilagus_audubonii,Reithrodontomys_sp,Notiosorex_crawfordi,Navahoceros_fricki,Odocoileus_sp,Peromyscus_sp,Sylvilagus_audubonii,,,
Puma_concolor,Vulpes_vulpes,Thomomys_sp,Vulpes_vulpes,,,Sylvilagus_floridanus,Scalopus_aquaticus,Odocoileus_sp,Neotoma_sp,Onychomys_leucogaster,Platygonus_compressus,Sylvilagus_floridanus,,,
Reithrodontomys_sp,,Urocyon_cinereoargenteus,,,,Thomomys_sp,Sigmodon_hispidus,Onychomys_leucogaster,Notiosorex_crawfordi,Panthera_leo_atrox,Reithrodontomys_sp,Synaptomys_cooperi,,,
