"","x"
"C3.Plants",1
"C4.Plants",2
"Seeds.Fruits",3
"Antilocapra_americana",3
"Odocoileus_sp",3
"Panthera_onca_pleistocene",3
"Canis_dirus",3
"Panthera_leo_atrox",3
"Equus_small",3
"Equus_large",3
"Bison_antiquus",3
"Mammuthus_primigenius",3
"Hemiauchenia_macrocephala",3
"Ursus_americanus",3
"Ursus_arctos",3
"Arctodus_simus",3
"Insects",4
"Sorex_haydeni",4
"Sorex_longirostris",4
"Notiosorex_crawfordi",4
"Sorex_cinereus",4
"Cryptotis_parva",4
"Blarina_carolinensis",4
"Onychomys_leucogaster",4
"Scalopus_aquaticus",4
"Fish",5
"Neotoma_sp",5
"Geomys_sp",5
"Sylvilagus_audubonii",5
"Sylvilagus_floridanus",5
"Lepus_californicus_pleistocene",5
"Mustela_frenata",5
"Mustela_erminea",5
"Felis_wiedii",5
"Urocyon_cinereoargenteus",5
"Vulpes_vulpes",5
"Lynx_rufus_pleistocene",5
"Canis_latrans",5
"Baiomys_taylori",5
"Perognathus_sp",5
"Reithrodontomys_sp",5
"Chaetodipus_hispidus",5
"Dipodomys_elator",5
"Spermophilus_sp",5
"Synaptomys_cooperi",5
"Microtus_sp",5
"Sigmodon_hispidus",5
"Cynomys_ludovicianus",5
"Peromyscus_sp",5
"Spilogale_sp",5
"Mephitis_macroura",5
"Bassariscus_astutus",5
"Mephitis_mephitis",5
"Dasypus_bellus",5
"Navahoceros_fricki",6
"Tapirus_veroensis",7
"Mammut_americanum",8
"Mammuthus_columbi",9
"Camelops_hesternus",10
"Paramylodon_harlani",11
