"","x"
"C3.Plants",1
"C4.Plants",1
"Tremarctos_floridanus",1
"Tapirus_veroensis",1
"Megalonyx_jeffersonii",1
"Mammut_americanum",1
"Mammuthus_columbi",1
"Camelops_hesternus",1
"Seeds.Fruits",2
"Arctodus_simus",2
"Insects",3
"Fish",4
"Neotoma_sp",5
"Sylvilagus_audubonii",5
"Sylvilagus_floridanus",5
"Canis_latrans",5
"Reithrodontomys_sp",5
"Cynomys_ludovicianus",5
"Peromyscus_sp",5
"Tetrameryx_shuleri",6
"Panthera_onca_pleistocene",6
"Canis_dirus",6
"Homotherium_serum",6
"Smilodon_fatalis",6
"Equus_small",6
"Equus_large",6
"Bison_antiquus",6
"Glyptotherium_floridanum",6
"Ursus_americanus",6
