"","x"
"C3.Plants",1
"C4.Plants",2
"Seeds.Fruits",3
"Insects",4
"Fish",5
"Neotoma_sp",6
"Sylvilagus_audubonii",7
"Sylvilagus_floridanus",8
"Lepus_californicus_holocene",9
"Antilocapra_americana",10
"Cervus_nippon",11
"Odocoileus_sp",12
"Pecari_tajacu",13
"Puma_concolor",13
"Antilope_cervicapra",13
"Ovis_aries",13
"Dama_dama",13
"Urocyon_cinereoargenteus",14
"Vulpes_vulpes",14
"Lynx_rufus_holocene",14
"Canis_latrans",14
"Canis_lupus",14
"Canis_familiaris",14
"Baiomys_taylori",14
"Perognathus_sp",14
"Reithrodontomys_sp",14
"Chaetodipus_hispidus",14
"Microtus_sp",14
"Sigmodon_hispidus",14
"Bison_bison",14
"Peromyscus_sp",14
"Didelphis_virginiana",14
"Procyon_lotor",14
"Sus_scrofa",15
"Axis_axis",16
"Oryx_dammah",17
"Equus_caballus",18
"Bos_taurus",19
"Notiosorex_crawfordi",20
"Cryptotis_parva",21
"Onychomys_leucogaster",22
"Conepatus_leuconotus",23
"Dasypus_novemcinctus",24
