"","x"
"C3.Plants",1
"Thomomys_sp",1
"Neotoma_sp",1
"Geomys_sp",1
"Sylvilagus_audubonii",1
"Sylvilagus_floridanus",1
"Lepus_californicus_holocene",1
"Antilocapra_americana",1
"Odocoileus_sp",1
"Pecari_tajacu",1
"Urocyon_cinereoargenteus",1
"Vulpes_vulpes",1
"Lynx_rufus_holocene",1
"Canis_latrans",1
"Canis_lupus",1
"Puma_concolor",1
"Canis_familiaris",1
"Baiomys_taylori",1
"Perognathus_sp",1
"Reithrodontomys_sp",1
"Chaetodipus_hispidus",1
"Microtus_sp",1
"Sigmodon_hispidus",1
"Bison_bison",1
"Peromyscus_sp",1
"Didelphis_virginiana",1
"Procyon_lotor",1
"C4.Plants",2
"Seeds.Fruits",3
"Insects",3
"Notiosorex_crawfordi",3
"Cryptotis_parva",3
"Onychomys_leucogaster",3
"Conepatus_leuconotus",3
"Dasypus_novemcinctus",3
"Fish",4
