"","x"
"C3.Plants",1
"C4.Plants",1
"Tapirus_veroensis",1
"Mammut_americanum",1
"Mammuthus_columbi",1
"Camelops_hesternus",1
"Seeds.Fruits",2
"Neotoma_sp",2
"Geomys_sp",2
"Sylvilagus_audubonii",2
"Sylvilagus_floridanus",2
"Canis_latrans",2
"Chaetodipus_hispidus",2
"Dipodomys_elator",2
"Spermophilus_sp",2
"Synaptomys_cooperi",2
"Microtus_sp",2
"Cynomys_ludovicianus",2
"Peromyscus_sp",2
"Ursus_americanus",2
"Arctodus_simus",2
"Insects",3
"Blarina_carolinensis",3
"Onychomys_leucogaster",3
"Scalopus_aquaticus",3
"Fish",4
"Canis_dirus",5
"Homotherium_serum",5
"Smilodon_fatalis",5
"Equus_small",5
"Equus_large",5
"Bison_antiquus",5
