"","x"
"C3.Plants",1
"Antilocapra_americana",1
"Odocoileus_sp",1
"Puma_concolor",1
"C4.Plants",2
"Seeds.Fruits",2
"Fish",2
"Thomomys_sp",2
"Neotoma_sp",2
"Geomys_sp",2
"Sylvilagus_audubonii",2
"Sylvilagus_floridanus",2
"Lepus_californicus_holocene",2
"Felis_wiedii",2
"Urocyon_cinereoargenteus",2
"Vulpes_vulpes",2
"Taxidea_taxus",2
"Lynx_rufus_holocene",2
"Canis_latrans",2
"Canis_lupus",2
"Canis_familiaris",2
"Panthera_onca_holocene",2
"Baiomys_taylori",2
"Perognathus_sp",2
"Reithrodontomys_sp",2
"Ochrotomys_nuttalli",2
"Chaetodipus_hispidus",2
"Dipodomys_elator",2
"Spermophilus_sp",2
"Synaptomys_cooperi",2
"Microtus_sp",2
"Sigmodon_hispidus",2
"Cynomys_ludovicianus",2
"Equus_small",2
"Equus_large",2
"Bison_antiquus",2
"Peromyscus_sp",2
"Spilogale_sp",2
"Mephitis_macroura",2
"Mephitis_mephitis",2
"Ursus_americanus",2
"Insects",3
"Notiosorex_crawfordi",3
"Cryptotis_parva",3
"Blarina_carolinensis",3
"Onychomys_leucogaster",3
"Scalopus_aquaticus",3
