"","x"
"C3.Plants",1
"C4.Plants",1
"Stockoceros_sp",1
"Odocoileus_sp",1
"Navahoceros_fricki",1
"Tapirus_veroensis",1
"Megalonyx_jeffersonii",1
"Mammut_americanum",1
"Platygonus_compressus",1
"Camelops_hesternus",1
"Paramylodon_harlani",1
"Seeds.Fruits",2
"Hemiauchenia_macrocephala",2
"Ursus_americanus",2
"Arctodus_simus",2
"Insects",3
"Sorex_haydeni",3
"Sorex_longirostris",3
"Sorex_cinereus",3
"Blarina_carolinensis",3
"Onychomys_leucogaster",3
"Scalopus_aquaticus",3
"Fish",4
"Neotoma_sp",5
"Sylvilagus_audubonii",5
"Sylvilagus_floridanus",5
"Vulpes_vulpes",5
"Lynx_rufus_pleistocene",5
"Canis_latrans",5
"Spermophilus_sp",5
"Synaptomys_cooperi",5
"Microtus_sp",5
"Cynomys_ludovicianus",5
"Peromyscus_sp",5
"Canis_dirus",6
"Homotherium_serum",6
"Equus_small",6
"Equus_large",6
"Bison_antiquus",6
"Mammuthus_primigenius",6
