"","x"
"C3.Plants",1
"C4.Plants",1
"Stockoceros_sp",1
"Odocoileus_sp",1
"Navahoceros_fricki",1
"Tapirus_veroensis",1
"Megalonyx_jeffersonii",1
"Mammut_americanum",1
"Canis_dirus",1
"Equus_small",1
"Equus_large",1
"Bison_antiquus",1
"Mammuthus_columbi",1
"Platygonus_compressus",1
"Camelops_hesternus",1
"Seeds.Fruits",2
"Neotoma_sp",2
"Geomys_sp",2
"Cratogeomys_castanops",2
"Sylvilagus_audubonii",2
"Sylvilagus_floridanus",2
"Mustela_frenata",2
"Mustela_erminea",2
"Urocyon_cinereoargenteus",2
"Vulpes_vulpes",2
"Lynx_rufus_pleistocene",2
"Canis_latrans",2
"Perognathus_sp",2
"Reithrodontomys_sp",2
"Chaetodipus_hispidus",2
"Dipodomys_elator",2
"Spermophilus_sp",2
"Synaptomys_cooperi",2
"Microtus_sp",2
"Cynomys_ludovicianus",2
"Hemiauchenia_macrocephala",2
"Peromyscus_sp",2
"Spilogale_sp",2
"Mephitis_macroura",2
"Mephitis_mephitis",2
"Ursus_americanus",2
"Arctodus_simus",2
"Insects",3
"Sorex_haydeni",3
"Sorex_longirostris",3
"Notiosorex_crawfordi",3
"Sorex_cinereus",3
"Blarina_carolinensis",3
"Onychomys_leucogaster",3
"Scalopus_aquaticus",3
"Fish",4
